USDA_symbol,height,LAI,LAR,relative_spread
ACMO2,21.714285714285715,1.851879929215048,61.5310707392183,0.2287563492678582
AGHE2,18.5,1.6202777361881784,140.27309643983907,0.34254913263065434
ANAR,7.25,1.4973576830370394,168.0067137738085,0.8421266233766234
AVBA,78.375,0.5150076990922527,21.6444554280679,0.14374824612241724
AVFA,59.25,0.7960272467601051,35.14628458639559,0.26067340340882067
BOIN3,NaN,0.0371747357253439,109.54113873648697,NaN
BRDI3,66,0.45008957387932613,38.75824662792884,0.3153620587058313
BRHO2,31.625,1.4946774253759592,81.55881455801915,0.24673461277882008
CACO35,6.75,0.4224670977311768,116.26573033671113,2.207178932178932
CAPY2,62.625,0.6542685279758491,68.070411275784,0.314757397174625
CHPO3,32.875,0.34262820346641165,215.8624116131938,0.9836347429683776
CLPE,NaN,NaN,509.3518839812683,NaN
CRSE11,3.375,0.6961602141022948,162.12821510530395,2.716666666666667
DICA14,NaN,NaN,NaN,NaN
ERMO7,14.625,NaN,NaN,0.6922261510956363
FEMY2,36,0.3625756573957639,49.3482483000983,0.23507832080200503
GAAP2,NaN,0.12983966602576308,128.0165558222996,NaN
GIOC,NaN,NaN,NaN,NaN
LARA,24.875,1.190606122345264,72.41303416401202,0.2205128205128205
LASE,21.428571428571427,0.9226424136923878,280.6885311956633,0.6178766965723488
LEBI4,NaN,NaN,NaN,NaN
LEPA51,13,0.8868334477612481,58.79569554450347,0.16339840714840714
LOPE,32.25,0.2166682433272814,31.480992256038675,0.596547279474911
LOST4,6,0.02310850502571064,4.296036100559359,1.4601934523809523
LUBI,16.875,NaN,NaN,0.3649697159565581
MIDO,21.3875,2.118641246751536,112.79014013327216,0.2094268082294735
SIGA,35.375,0.26206097259994277,28.711585395972556,0.49014162229860647
STPU2,79.75,0.24763915094987307,16.12096031224377,0.26469779121357745
TOAR,49.25,0.21717959973498543,84.82004119124583,0.45570448065602837
TRAL5,18.625,0.44499068765675465,31.66273873651155,0.7692777427574092
VIPE3,15.5,NaN,NaN,0.9544128099544373
